id,Feature,Lable
98,"[28, 27, 14, 11]",9
99,"[28, 28, 26, 6]",25
100,"[11, 6, 6, 5]",15
101,"[5, 5, 5, 5]",15
102,"[25, 11, 11, 11]",12
103,"[28, 28, 28, 28, 22, 22, 22, 5]",14
104,"[11, 11, 11, 11]",12
105,"[30, 30, 29, 29, 18, 18, 17, 17, 17, 14, 11, 11, 11, 11, 11, 11, 6, 6, 5, 5, 5, 5, 5]",6
106,"[34, 30, 30, 28, 27, 27, 25, 23, 11, 11, 11, 11]",26
107,"[19, 19, 19, 19, 19, 19, 19, 11, 11, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5]",3
108,"[29, 29, 29, 19, 14, 14, 11, 10, 6]",14
109,"[31, 29, 28, 28, 27, 25, 25, 25, 23, 23, 23, 11]",26
110,"[14, 14, 11, 11, 5, 5]",12
111,"[26, 11, 11, 11, 5, 5, 5, 5, 5, 2]",2
112,"[28, 28, 14, 11]",9
113,"[29, 28, 26, 26, 25, 14, 11, 10, 5]",14
114,"[28, 28, 28, 28, 22, 22, 5, 5, 5]",14
115,"[30, 14, 14, 14, 11, 11, 11, 11, 6, 6, 6, 6, 6, 6, 6, 6, 2, 1, 1, 1, 1]",0
116,"[11, 11, 11, 11]",12
117,"[14, 11, 6, 6, 6, 2, 2]",12
118,"[27, 26, 25, 25, 25, 22, 22, 22, 22, 19, 14, 11, 6, 5, 5, 2]",26
119,"[34, 34, 34, 34, 30, 30, 30, 30, 17, 17, 17, 17, 6, 6, 6, 6]",26
120,"[28, 11, 6, 6]",25
121,"[29, 29, 25, 25, 25, 25, 23, 19, 19, 19, 18, 18, 17, 17, 14, 14, 11, 11, 11, 10, 8, 6, 6, 5, 2]",6
122,"[28, 28, 28, 28]",25
123,"[30, 30, 30, 30, 22, 22, 22, 22]",14
124,"[14, 14, 14, 14]",12
125,"[5, 5, 5, 5]",15
126,"[19, 19, 11, 5]",0
127,"[14, 11, 11, 11]",9
128,"[6, 6, 6, 6, 2, 2]",0
129,"[25, 11, 5, 5]",25
130,"[14, 14, 14, 14]",12
131,"[27, 27, 27, 27]",25
132,"[34, 34, 32, 32, 30, 30, 11, 11, 11, 11, 6, 6, 6, 2, 2, 2]",6
133,"[19, 10, 10, 10, 10]",11
134,"[34, 30, 29, 29, 25, 25, 25, 25, 23, 23, 19, 19, 17, 17, 17, 14, 14, 11, 11, 11, 11, 10, 10, 6, 6, 6, 5, 2, 2, 2, 2, 2, 2, 0]",6
135,"[29, 29, 29, 29, 28, 28, 28, 28, 27, 26, 26, 26, 25, 19, 19, 19, 19]",26
136,"[28, 27, 14, 11]",9
137,"[28, 28, 26, 6]",25
138,"[11, 6, 6, 5]",15
139,"[5, 5, 5, 5]",14
140,"[25, 11, 11, 11]",25
141,"[28, 28, 28, 28, 22, 22, 22, 5]",14
142,"[11, 11, 11, 11]",12
143,"[30, 30, 29, 29, 18, 18, 17, 17, 17, 14, 11, 11, 11, 11, 11, 11, 6, 6, 5, 5, 5, 5, 5]",6
