id,qs1,qs2,qs3,qs4,qs5,qs6,qs7,qs8,qs9,qs10,qs11,qs12,qs13,qs14,qs15,qs16,qs17,qs18,qs19,qs20,qs21,qs22,qs23,qs24,qs25,qs26,qs27,qs28,qs29,qs30,qs31,qs32,qs33,qs34,qs35,qs36,qs37,qs38,qs39,qs40
0,A,C,C,C,D,D,D,D,B,B,A,C,C,C,D,D,D,D,B,B,C,D,D,D,A,C,C,C,B,B,A,D,D,D,D,C,C,C,B,B
1,Oscillation_and_electromagnetic_waves,Oscillation_and_electromagnetic_waves,Alternating_current,Atomic_nucleus,Atomic_nucleus,Quantum_of_light,Mechanical_waves,Mechanical_waves,Light_waves,Light_waves,Quantum_of_light,Quantum_of_light,Oscillation_and_electromagnetic_waves,Mechanical_waves,Atomic_nucleus,Mechanical_waves,Mechanical_oscillation,Light_waves,Quantum_of_light,Mechanical_waves,Alternating_current,Atomic_nucleus,Mechanical_oscillation,Light_waves,Quantum_of_light,Atomic_nucleus,Mechanical_waves,Atomic_nucleus,Oscillation_and_electromagnetic_waves,Oscillation_and_electromagnetic_waves,Oscillation_and_electromagnetic_waves,Alternating_current,Alternating_current,Atomic_nucleus,Atomic_nucleus,Atomic_nucleus,Atomic_nucleus,Mechanical_waves,Light_waves,Light_waves
